soc_code,soc_code_long,occupation,job_zone,slug,Data-level
13-2011,13-2011.00,Accountants and Auditors,4,accountants-and-auditors,Y
27-2011,27-2011.00,Actors,2,actors,Y
15-2011,15-2011.00,Actuaries,4,actuaries,Y
29-1291,29-1291.00,Acupuncturists,5,acupuncturists,Y
29-1141,29-1141.01,Acute Care Nurses,4,acute-care-nurses,Y
25-2059,25-2059.01,Adapted Physical Education Specialists,5,adapted-physical-education-specialists,Y
51-9191,51-9191.00,Adhesive Bonding Machine Operators and Tenders,2,adhesive-bonding-machine-operators-and-tenders,Y
23-1021,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",5,administrative-law-judges-adjudicators-and-hearing-officers,Y
11-3012,11-3012.00,Administrative Services Managers,3,administrative-services-managers,Y
25-3011,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",4,adult-basic-education-adult-secondary-education-and-english-as-a-second-language-instructors,Y
29-1141,29-1141.02,Advanced Practice Psychiatric Nurses,5,advanced-practice-psychiatric-nurses,Y
11-2011,11-2011.00,Advertising and Promotions Managers,4,advertising-and-promotions-managers,Y
41-3011,41-3011.00,Advertising Sales Agents,4,advertising-sales-agents,Y
17-3021,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,3,aerospace-engineering-and-operations-technologists-and-technicians,Y
17-2011,17-2011.00,Aerospace Engineers,4,aerospace-engineers,Y
13-1011,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",4,agents-and-business-managers-of-artists-performers-and-athletes,Y
17-2021,17-2021.00,Agricultural Engineers,4,agricultural-engineers,Y
45-2091,45-2091.00,Agricultural Equipment Operators,1,agricultural-equipment-operators,Y
45-2011,45-2011.00,Agricultural Inspectors,2,agricultural-inspectors,Y
25-1041,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",5,agricultural-sciences-teachers-postsecondary,Y
19-4012,19-4012.00,Agricultural Technicians,3,agricultural-technicians,Y
45-2099,45-2099.00,"Agricultural Workers, All Other",,agricultural-workers-all-other,
55-3011,55-3011.00,Air Crew Members,,air-crew-members,
55-1011,55-1011.00,Air Crew Officers,,air-crew-officers,
53-2021,53-2021.00,Air Traffic Controllers,3,air-traffic-controllers,Y
53-1041,53-1041.00,Aircraft Cargo Handling Supervisors,2,aircraft-cargo-handling-supervisors,Y
55-1012,55-1012.00,Aircraft Launch and Recovery Officers,,aircraft-launch-and-recovery-officers,
55-3012,55-3012.00,Aircraft Launch and Recovery Specialists,,aircraft-launch-and-recovery-specialists,
49-3011,49-3011.00,Aircraft Mechanics and Service Technicians,3,aircraft-mechanics-and-service-technicians,Y
53-6032,53-6032.00,Aircraft Service Attendants,2,aircraft-service-attendants,Y
51-2011,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2,aircraft-structure-surfaces-rigging-and-systems-assemblers,Y
53-2022,53-2022.00,Airfield Operations Specialists,3,airfield-operations-specialists,Y
53-2011,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",4,airline-pilots-copilots-and-flight-engineers,Y
29-1229,29-1229.01,Allergists and Immunologists,5,allergists-and-immunologists,Y
53-3011,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2,ambulance-drivers-and-attendants-except-emergency-medical-technicians,Y
39-3091,39-3091.00,Amusement and Recreation Attendants,1,amusement-and-recreation-attendants,Y
29-1071,29-1071.01,Anesthesiologist Assistants,5,anesthesiologist-assistants,Y
29-1211,29-1211.00,Anesthesiologists,5,anesthesiologists,Y
45-2021,45-2021.00,Animal Breeders,2,animal-breeders,Y
39-2021,39-2021.00,Animal Caretakers,2,animal-caretakers,Y
33-9011,33-9011.00,Animal Control Workers,2,animal-control-workers,Y
19-1011,19-1011.00,Animal Scientists,5,animal-scientists,Y
39-2011,39-2011.00,Animal Trainers,2,animal-trainers,Y
19-3091,19-3091.00,Anthropologists and Archeologists,5,anthropologists-and-archeologists,Y
25-1061,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",5,anthropology-and-archeology-teachers-postsecondary,Y
13-2023,13-2023.00,Appraisers and Assessors of Real Estate,4,appraisers-and-assessors-of-real-estate,Y
13-2022,13-2022.00,Appraisers of Personal and Business Property,4,appraisers-of-personal-and-business-property,Y
23-1022,23-1022.00,"Arbitrators, Mediators, and Conciliators",5,arbitrators-mediators-and-conciliators,Y
17-1011,17-1011.00,"Architects, Except Landscape and Naval",5,architects-except-landscape-and-naval,Y
17-3011,17-3011.00,Architectural and Civil Drafters,3,architectural-and-civil-drafters,Y
11-9041,11-9041.00,Architectural and Engineering Managers,5,architectural-and-engineering-managers,Y
25-1031,25-1031.00,"Architecture Teachers, Postsecondary",5,architecture-teachers-postsecondary,Y
25-4011,25-4011.00,Archivists,5,archivists,Y
25-1062,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",5,area-ethnic-and-cultural-studies-teachers-postsecondary,Y
55-3013,55-3013.00,Armored Assault Vehicle Crew Members,,armored-assault-vehicle-crew-members,
55-1013,55-1013.00,Armored Assault Vehicle Officers,,armored-assault-vehicle-officers,
27-1011,27-1011.00,Art Directors,4,art-directors,Y
29-1129,29-1129.01,Art Therapists,5,art-therapists,Y
25-1121,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",5,art-drama-and-music-teachers-postsecondary,Y
55-3014,55-3014.00,Artillery and Missile Crew Members,,artillery-and-missile-crew-members,
55-1014,55-1014.00,Artillery and Missile Officers,,artillery-and-missile-officers,
27-1019,27-1019.00,"Artists and Related Workers, All Other",,artists-and-related-workers-all-other,
51-2099,51-2099.00,"Assemblers and Fabricators, All Other",,assemblers-and-fabricators-all-other,
19-2011,19-2011.00,Astronomers,5,astronomers,Y
27-2021,27-2021.00,Athletes and Sports Competitors,2,athletes-and-sports-competitors,Y
29-9091,29-9091.00,Athletic Trainers,5,athletic-trainers,Y
19-2021,19-2021.00,Atmospheric and Space Scientists,4,atmospheric-and-space-scientists,Y
25-1051,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",5,atmospheric-earth-marine-and-space-sciences-teachers-postsecondary,Y
27-4011,27-4011.00,Audio and Video Technicians,3,audio-and-video-technicians,Y
29-1181,29-1181.00,Audiologists,5,audiologists,Y
49-2097,49-2097.00,Audiovisual Equipment Installers and Repairers,3,audiovisual-equipment-installers-and-repairers,Y
53-6031,53-6031.00,Automotive and Watercraft Service Attendants,2,automotive-and-watercraft-service-attendants,Y
49-3021,49-3021.00,Automotive Body and Related Repairers,2,automotive-body-and-related-repairers,Y
17-3027,17-3027.01,Automotive Engineering Technicians,3,automotive-engineering-technicians,Y
17-2141,17-2141.02,Automotive Engineers,4,automotive-engineers,Y
49-3022,49-3022.00,Automotive Glass Installers and Repairers,2,automotive-glass-installers-and-repairers,Y
49-3023,49-3023.00,Automotive Service Technicians and Mechanics,3,automotive-service-technicians-and-mechanics,Y
53-6051,53-6051.01,Aviation Inspectors,3,aviation-inspectors,Y
49-2091,49-2091.00,Avionics Technicians,3,avionics-technicians,Y
39-6011,39-6011.00,Baggage Porters and Bellhops,2,baggage-porters-and-bellhops,Y
33-3011,33-3011.00,Bailiffs,3,bailiffs,Y
51-3011,51-3011.00,Bakers,2,bakers,Y
39-5011,39-5011.00,Barbers,3,barbers,Y
35-3023,35-3023.01,Baristas,1,baristas,Y
35-3011,35-3011.00,Bartenders,2,bartenders,Y
49-3091,49-3091.00,Bicycle Repairers,2,bicycle-repairers,Y
43-3011,43-3011.00,Bill and Account Collectors,2,bill-and-account-collectors,Y
43-3021,43-3021.00,Billing and Posting Clerks,3,billing-and-posting-clerks,Y
19-1021,19-1021.00,Biochemists and Biophysicists,5,biochemists-and-biophysicists,Y
17-2031,17-2031.00,Bioengineers and Biomedical Engineers,4,bioengineers-and-biomedical-engineers,Y
51-8099,51-8099.01,Biofuels Processing Technicians,2,biofuels-processing-technicians,Y
11-3051,11-3051.03,Biofuels Production Managers,4,biofuels-production-managers,Y
11-9041,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,4,biofuels-biodiesel-technology-and-product-development-managers,Y
19-1029,19-1029.01,Bioinformatics Scientists,5,bioinformatics-scientists,Y
15-2099,15-2099.01,Bioinformatics Technicians,4,bioinformatics-technicians,Y
25-1042,25-1042.00,"Biological Science Teachers, Postsecondary",5,biological-science-teachers-postsecondary,Y
19-1029,19-1029.00,"Biological Scientists, All Other",,biological-scientists-all-other,
19-4021,19-4021.00,Biological Technicians,4,biological-technicians,Y
19-1029,19-1029.04,Biologists,5,biologists,Y
51-8013,51-8013.03,Biomass Plant Technicians,2,biomass-plant-technicians,Y
11-3051,11-3051.04,Biomass Power Plant Managers,4,biomass-power-plant-managers,Y
15-2041,15-2041.01,Biostatisticians,5,biostatisticians,Y
15-1299,15-1299.07,Blockchain Engineers,4,blockchain-engineers,Y
47-2011,47-2011.00,Boilermakers,2,boilermakers,Y
